"coef","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %"
"週數差-253",-25.4639535537476,26.1627015963455,-0.973292206081064,0.330411737770273,-76.7428667960362,25.8149596885409
"週數差-252",-19.3882697027825,26.2048451765968,-0.73987346889948,0.459379461850204,-70.7497843915412,31.9732449859762
"週數差-251",-32.7291580901357,26.3587636048047,-1.24168032237179,0.214359039268872,-84.3923530047456,18.9340368244743
"週數差-250",-50.7901620756766,26.2646766309856,-1.93378212072701,0.0531442829529772,-102.268946456461,0.688622305107927
"週數差-249",-9.41742528272104,27.4458972665462,-0.343126886735087,0.731504121010922,-63.2114029270091,44.376552361567
"週數差-248",-53.4274236244858,27.9726408819256,-1.9099885438063,0.0561391102391977,-108.253819119602,1.39897187063089
"週數差-247",-43.5612114158351,26.1668570800745,-1.66474755766546,0.0959679780104293,-94.8482694091096,7.7258465774394
"週數差-246",-45.5453545467512,25.5636067290324,-1.78164822474075,0.0748113094441007,-95.6500414343295,4.55933234082713
"週數差-245",-48.2678041828291,26.8556704105021,-1.79730401233825,0.072292036278269,-100.904936780634,4.36932841497569
"週數差-244",-41.9401523611776,29.1170323504243,-1.44039927752343,0.14975931227082,-99.0095559268583,15.129251204503
"週數差-243",-43.0530985361178,27.5948428647232,-1.56018639958106,0.118720735188491,-97.1390096559536,11.0328125837181
"週數差-242",-28.3648847177724,27.7250621605414,-1.02307740749241,0.306275077489002,-82.7060257475676,25.9762563120228
"週數差-241",-10.2807099166634,26.5873746568132,-0.386676384914479,0.698997074025308,-62.3919826514862,41.8305628181595
"週數差-240",-31.546224371336,27.2645550906334,-1.15704159728517,0.247259642287532,-84.9847712252849,21.8923224826128
"週數差-239",-46.4952218792335,26.690317244197,-1.74202582359123,0.0815086830018771,-98.8082621565999,5.8178183981328
"週數差-238",-52.4917121527068,27.8978122238563,-1.88157091787361,0.0598987885638869,-107.171443426201,2.18801912078721
"週數差-237",-55.2587318173311,26.8612128832317,-2.05719421745943,0.0396715510591513,-107.906727665523,-2.61073596913907
"週數差-236",-50.2321935159885,28.9960857826102,-1.7323784283365,0.0832109771329571,-107.064541725018,6.60015469304051
