"coef","estimate","se","t_value","lower","upper","NA"
"村里大安區黎元里",-176.38489692262,66.5377967374738,-2.65089776895605,0.0080297401345508,-306.798987047032,-45.9708067982089
"村里大安區黎孝里",-172.665217637937,31.712564076227,-5.44469432439787,5.20799686366023e-08,-234.821847287563,-110.508587988311
"村里大安區黎和里",-195.092968883478,23.7884923902589,-8.20114892877223,2.42358866872192e-16,-241.718417014072,-148.467520752884
"村里大安區學府里",-389.805044152396,206.967221772876,-1.88341439196669,0.0596486487750183,-795.460825325648,15.8507370208555
"村里大安區錦安里",-40.5157416155607,21.6655366879589,-1.87005483404794,0.0614806513763016,-82.9801962978408,1.94871306671945
"村里大安區錦泰里",-93.1944791440028,31.6679436490863,-2.94286487865125,0.0032530406882929,-155.26365275072,-31.1253055372856
"村里大安區錦華里",-136.099030521141,24.5122380774553,-5.55228902767208,2.83040639233669e-08,-184.143020291302,-88.055040750979
"村里大安區龍生里",-96.0329579039856,30.8909400682496,-3.10877421314512,0.00187945522741275,-156.579204392782,-35.4867114151896
"村里大安區龍安里",-70.6803940298447,22.5274119823156,-3.13752836257134,0.00170454117206614,-114.834124399411,-26.5266636602779
"村里大安區龍坡里",-154.955439025406,38.0496018998148,-4.07245887705753,4.65739344248841e-05,-229.532663620607,-80.3782144302045
"村里大安區龍門里",-44.9236209660347,31.7206194984345,-1.41622773061704,0.156713584787888,-107.096039244219,17.2487973121494
"村里大安區龍泉里",-47.5906875374491,34.4330424366336,-1.38212264063012,0.166938751162976,-115.07945512178,19.8980800468819
"村里大安區龍陣里",-124.84854884031,28.2683342429763,-4.41655131735717,1.00448168047699e-05,-180.254487575793,-69.4426101048265
"村里大安區龍淵里",-83.4560666366022,26.4167311718883,-3.15921247385116,0.00158267847123729,-135.232863115689,-31.6792701575159
"村里大安區龍雲里",-105.752842327787,23.6653682339388,-4.46867512402051,7.8836946683532e-06,-152.13696709623,-59.3687175593445
"村里大安區龍圖里",24.803341010044,16.6528411413442,1.4894359947063,0.136377400859558,-7.83622975908604,57.442911779174
"村里大安區臨江里",-69.9183137764211,33.9968091826951,-2.05661400164609,0.0397273140620917,-136.552064127181,-3.28456342566129
"村里中山區力行里",-82.1609592796848,16.6073405185458,-4.94726769695207,7.54481677642555e-07,-114.711348822305,-49.6105697370651
"村里中山區下埤里",-95.6975417368541,18.9484591824661,-5.05041284968477,4.42034321314998e-07,-132.836524160496,-58.5585593132127
"村里中山區大直里",-127.171908811007,25.1040928998408,-5.06578386713242,4.07822914792049e-07,-176.37593410882,-77.9678835131932
"村里中山區中山里",-17.6389689506884,13.9803338858037,-1.26169869008636,0.207061712123205,-45.0404251567929,9.76248725541604
"村里中山區中央里",-19.489659003075,19.056567947066,-1.02272660309097,0.306440898778227,-56.8405346191736,17.8612166130236
"村里中山區中吉里",-58.6783882582475,16.6693658441081,-3.52013320764616,0.000431622173669369,-91.3503474469105,-26.0064290695845
"村里中山區中庄里",-146.342345608422,22.1212102896105,-6.6154764451181,3.73190642819755e-11,-189.69992060828,-102.984770608564
"村里中山區中原里",-102.269500074395,17.3231760245937,-5.9036229805206,3.5734655407643e-09,-136.222927300518,-68.3160728482714
"村里中山區北安里",-48.3393277313886,21.1185140252545,-2.28895497446374,0.02208512956052,-89.7316179247316,-6.94703753804556
"村里中山區正守里",-156.372113309422,19.5804364660428,-7.9861403284145,1.41469902456674e-15,-194.749771289787,-117.994455329057
"村里中山區正得里",-69.5386691507296,15.6006884371507,-4.45741028871094,8.30928848271367e-06,-100.116020484931,-38.9613178165278
